ID,Name,City,Mobile No,e-mail,Medicines Supply,Quantity per medicine
1,Ram,Mumbai,9393949393,@gmail.com,Allegra Allerid,10 50
2,Shyam,Indore,9393939493,@yahoo.com,Allerid Kebitol,20 100
3,Kumar,Delhi,2345381234,@yahoo.com,Nacxone Pacedone,50 60
4,Sam,Bangalore,4543423234,@gmail.com,Halexine Safdom,10 60
5,Karan,Noida,1212121211,@gmail.com,Pacedon Paranova,20 100
6,Noname,Chennai,909090909,@gmail.com,Allegra Kebitol,20 40
7,Aditya,Nashik,90913473378,@yahoo.com,Pacedon Allegra,20 40
8,sam,delhi,3949545494,@yahoo.com,Paranova Parapar,10 20
9,sam1,chennai,92929292293,@gmail.com,Parapar Kebitol,10 20
10,Aditya,Nashik,90913473378@playboy.com,@playboy.com,Pacedon Allegra,20 40
